"id","user_id","place_id","name","picture","address","review_rank","review_num","is_visit","lat","lng","visited_at","created_at","updated_at"
1,1,ChIJK1NMBA_vGGARM6ijA1sIwsE,武蔵野中央公園 サービスセンター,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAAktnj0oKlY2pvIjaRxmOjbpO3IenPXdKpaLdkJNeRvQCthOiEX2at0OOOD9pwOIBnJUrDNbvOzksJVtSAOPVHD8GWRYdwkCCkmoD1-J3qXRd0LsA_Xszf4nhn2imc5XwQEhB2mOlzJU7d8UL-3OVZ2JIQGhSt7TBB0eg8SFBXQRcZHe0mOdyrHQ",東京都武蔵野市八幡町２丁目４−２２,3,9,0,35.716766,139.555095,,"2020-03-25 09:19:18.674893000","2020-03-25 09:19:18.674893000"
2,1,ChIJw3WuJUAiGWARyI5hNpg4zlw,東京サマーランド,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAA_x7gxN44vqm573aPqfYluDe11Q5Lap2gLO37iVqEgJOotD05mk26_ObZ8JeBWazNtkcFTi-fxI4o1UGV6eJWKIvhJW45pBqxL171ep2xLh8LgFqcJ_dmO4Al7bx26VbSEhAKYLd-rpe6eJrtc-N7dPdNGhQD6yqzeC6aJxLgEZkNWPaDo7mGOA",東京都あきる野市上代継６００,4,2778,0,35.716898,139.272720,,"2020-03-25 09:19:45.855127000","2020-03-25 09:19:45.855127000"
3,1,ChIJO979hR2MGGARDy6--tQtmsU,東京アニメセンター in DNP PLAZA,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAABuv7lueI6np2J_TUTTUO6yui0Hkv-tD5my8dIOSxROk-5fJYdBa3CjydqQeTPOndwgQgTPQOdPwgZ9c7mrkfnO0S3Ith4azVgxJiQAdz6N5I_v4DiCROhdtLxWb3V5yAEhAOnP2GSYvh5h92YZKWHZQ8GhQ5coumyBUxKdab8oHQyTct3O5iXw",東京都新宿区市谷田町１丁目１４−１ ＤＮＰ ビルＤＮＰビルプラザ 地下１階,3,994,0,35.692168,139.735029,,"2020-03-25 09:19:57.608192000","2020-03-25 09:19:57.608192000"
4,1,ChIJYXBWR1uNGGARtkqckMsH1QU,豊島区立上り屋敷公園,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAAvnF2EpwsAtlHTrH9zQg_7hAd8NOKcAYN8s71hUCcap1cHEiUyGxNs45TZ2sYkjK-kINrl5VXj97nnhHVOImdS4k-EPT7jtlHtgOsxu06tKbXUgxBfxiI_NpDrW7kPaF0EhAv-Qpih2xNfMrsFq2ePQoNGhQORB8tPrBeTOFqCPQiQnBqKZRBOQ",東京都豊島区西池袋２丁目１４−２,3,92,0,35.725128,139.703927,,"2020-03-25 09:20:10.952084000","2020-03-25 09:20:10.952084000"
5,1,ChIJa94mF6ntGGAR-KOdsyWJVr0,練馬区立 向山庭園,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAA3yXIq48GsvFUhK15J9vld2tl2g0VoMhiVoQM5j8vEl0SmEKfniw0uvLmGRy5DDeWlUjHleHp4tdusSgY2FBoUXLgetKg13vwN79jZZVhbo_rtSZsHp_b-mveq6mRe2FdEhDhI1EknsEaa9pbhUDP7hrRGhR5dYdzp-OI531X0V7_e46265eCUA",東京都練馬区向山３丁目１−２１,4,100,0,35.740773,139.645381,,"2020-03-25 09:21:12.928013000","2020-03-25 09:21:12.928013000"
6,1,ChIJ6Yo7RerlGGARiPdg6cc6_YQ,C57186号蒸気機関車 スハフ32型客車,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAAC1J2MaDF-CTj6yRqbmTuGl6P-24ODwj_mOtidFaVd1PjT4BwII_xkADye__urrULcYg4yWFn-vVXBFfEd4wIngwaqmTrOI_dwxa4dXiVFC6L0K9qj8Z-oJDP6_bu8T7bEhD6-BZ4nAvMsliIjSq4VMF7GhRmxvtzvzOmgpTlaHvwr3ZbaJhyow",東京都小金井市桜町３丁目７,3,111,0,35.712564,139.508094,,"2020-03-25 09:22:02.100777000","2020-03-25 09:22:02.100777000"
7,1,ChIJuwOomcDnGGARaxVxD9_VLC0,清瀬中里緑地保全地域,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAA85lLXv67FVjmP0D5CcEE9IyPbP0eqqzZzxjeNVYrbXsb7nuWwraTNRmG39gItMesonD1jezmCGsqHmP_XDzMQc7rKNAe8If3KtEMzGOcQ5Qb-DlbnYXD_BYV85l7OGMNEhDpD7djop7oVzT92nOLFW1FGhSDa4dA6h0xF-yCD6XsH5kS9R_Y8Q",東京都清瀬市中里２丁目１５８６−８,3,15,0,35.779088,139.506768,,"2020-03-25 09:22:28.301053000","2020-03-25 09:22:28.301053000"
8,1,ChIJX_3r89DjGGARwISU84DPznQ,立川公園,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAAvFZ6Lb0heKKvmHbFOCF9zP_MXdbu6vWVj7ub39QQmotVDWE49KSHnTm3kSjinVvrymfO69FU5IGFSaQyxKi82oS_VCEL8bHRPy8ex4-bkMckHZQpZvtr3QlArR3Mim-cEhBIKD-KIGRoopdYgCdqShaIGhTADzI04K9C1cstwGQOQ41f3RQNQg",東京都立川市錦町６丁目２９,3,221,0,35.682574,139.411027,,"2020-03-25 09:22:49.297609000","2020-03-25 09:22:49.297609000"
9,1,ChIJx5KCQF_jGGARGTpTvNDmJ4A,金比羅宮,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAAvkP6nXMsIRsi15UsMO9sVZBDv93vsavqLQM2gFb2KifSdLyU_6MMXGpJZWtdEmFU37pW9MdIVYdL5pSErGccXpatMdeqR3rsGpJjJ6krEzfwSiC6SP2oujHHhlgxxaa-EhDleSbkcfUHcn651VuBiqPiGhQHuB3fkSxNsDxvY2NbhBHmFJJiMA",東京都多摩市桜ケ丘１丁目５４−４,4,43,0,35.643448,139.443985,,"2020-03-25 09:23:04.494322000","2020-03-25 09:23:04.494322000"
10,1,ChIJe7wpP6oMF2ARX0en2UypyqE,郷土資料館,"https://maps.googleapis.com/maps/api/place/photo?maxwidth=1000&key=AIzaSyBM05RznTEN6YIhgePbjCHac2AIv8e1K3I&photoreference=CmRaAAAAFjpYWpVCWIeit4W6CUfAU8bcDzf6n_V7HFewI_Q9hO5A65kAC-wQYdoe7qoPytnkIY_pfwoHNuffwV7cuHtPn2xndaL1UQpVZx72Lh2JcYozduXMW_7IiaBNNBK6ZhsvEhDfiywfZWPED9WNqDoDurx8GhRDG5mS_znpn_t5HMQwjNqWuZA-Tg",東京都利島村２４８,2,6,0,34.527576,139.281005,,"2020-03-25 09:23:16.059608000","2020-03-25 09:23:16.059608000"
